Year,State,Candidate,Party,Candidate Votes,Total Votes,Description,GDP
2008,GEORGIA,"MCCAIN, JOHN",REPUBLICAN,2048759,3924486,All industry total ,416303.5
2008,HAWAII,"OBAMA, BARACK H.",DEMOCRAT,325871,456064,All industry total ,65545.5
2008,IDAHO,"MCCAIN, JOHN",REPUBLICAN,403012,655122,All industry total ,56203.6
2008,ILLINOIS,"OBAMA, BARACK H.",DEMOCRAT,3419348,5522371,All industry total ,649677.3
2008,INDIANA,"OBAMA, BARACK H.",DEMOCRAT,1374039,2751054,All industry total ,277774.5
2008,IOWA,"OBAMA, BARACK H.",DEMOCRAT,828940,1537123,All industry total ,137749.2
2008,KANSAS,"MCCAIN, JOHN",REPUBLICAN,699655,1235872,All industry total ,129223.2
2008,KENTUCKY,"MCCAIN, JOHN",REPUBLICAN,1048462,1826620,All industry total ,160700.2
2008,LOUISIANA,"MCCAIN, JOHN",REPUBLICAN,1148275,1960761,All industry total ,213803.5
2008,MAINE,"OBAMA, BARACK H.",DEMOCRAT,421923,731163,All industry total ,51001.9
2008,MARYLAND,"OBAMA, BARACK H.",DEMOCRAT,1629467,2631596,All industry total ,292908.3
2008,MASSACHUSETTS,"OBAMA, BARACK H.",DEMOCRAT,1904097,3102995,All industry total ,387923.4
2008,MICHIGAN,"OBAMA, BARACK H.",DEMOCRAT,2872579,5001596,All industry total ,391633.6
2008,MINNESOTA,"OBAMA, BARACK H.",DEMOCRAT,1573354,2910369,All industry total ,268771.5
2008,MISSISSIPPI,"MCCAIN, JOHN",REPUBLICAN,724597,1289865,All industry total ,95179.3
2008,MISSOURI,"MCCAIN, JOHN",REPUBLICAN,1445814,2925205,All industry total ,256431.1
2008,MONTANA,"MCCAIN, JOHN",REPUBLICAN,242763,490109,All industry total ,37028.0
2008,NEBRASKA,"MCCAIN, JOHN",REPUBLICAN,452979,801281,All industry total ,86146.6
2008,NEVADA,"OBAMA, BARACK H.",DEMOCRAT,533736,967848,All industry total ,130570.9
2008,NEW HAMPSHIRE,"OBAMA, BARACK H.",DEMOCRAT,384826,710970,All industry total ,62095.3
2008,NEW JERSEY,"OBAMA, BARACK H.",DEMOCRAT,2215422,3868237,All industry total ,493289.4
2008,NEW MEXICO,"OBAMA, BARACK H.",DEMOCRAT,472422,830158,All industry total ,84339.7
2008,NEW YORK,"OBAMA, BARACK H.",DEMOCRAT,4645332,7722019,All industry total ,1107860.2
2008,NORTH CAROLINA,"OBAMA, BARACK H.",DEMOCRAT,2142651,4310851,All industry total ,420707.2
2008,NORTH DAKOTA,"MCCAIN, JOHN",REPUBLICAN,168601,316621,All industry total ,32027.7
2008,OHIO,"OBAMA, BARACK H.",DEMOCRAT,2940044,5708350,All industry total ,500916.4
2008,OKLAHOMA,"MCCAIN, JOHN",REPUBLICAN,960165,1462661,All industry total ,161609.0
2008,OREGON,"OBAMA, BARACK H.",DEMOCRAT,1037291,1827864,All industry total ,164122.9
2008,PENNSYLVANIA,"OBAMA, BARACK H.",DEMOCRAT,3276363,6013272,All industry total ,586886.6
2008,RHODE ISLAND,"OBAMA, BARACK H.",DEMOCRAT,296571,471766,All industry total ,47138.9
